id_estudiante,carrera,materia,calificacion,semestre,año
147,Ingeniería Civil,Programación,9.1,1,2024
148,Ingeniería Civil,Estadística,5.1,8,2023
149,Ingeniería Civil,Programación,6.8,3,2023
150,Ingeniería Indust,Programación,8.5,3,2022
151,Ingeniería Mecár,Física,9.6,8,2024
152,Ingeniería Indust,Física,7.7,2,2023
153,Ingeniería Civil,Estadística,6.0,2,2023
154,Ingeniería Civil,Base de Datos,6.0,7,2024
155,Ingeniería Civil,Estadística,7.3,5,2022
156,Ingeniería Civil,Estadística,5.6,2,2024
157,Ingeniería Mecár,Base de Datos,9.4,1,2024
158,Ingeniería Mecár,Física,6.2,4,2023
159,Ingeniería Indust,Programación,6.0,2,2023
160,Ingeniería Indust,Estadística,5.7,7,2024
161,Ingeniería en Co,Algoritmos,8.0,6,2023
162,Ingeniería Civil,Programación,9.5,8,2024
163,Ingeniería Indust,Base de Datos,7.4,4,2024
164,Ingeniería Civil,Cálculo,7.8,5,2022
165,Ingeniería Indust,Estadística,8.9,1,2024
166,Ingeniería Indust,Estadística,6.9,1,2023
167,Ingeniería Indust,Programación,8.5,3,2024
168,Ingeniería en Co,Física,5.5,4,2024
169,Ingeniería en Co,Programación,6.3,4,2022
170,Ingeniería Mecár,Algoritmos,5.3,1,2022
171,Ingeniería en Co,Base de Datos,9.1,5,2022
172,Ingeniería Civil,Algoritmos,8.5,4,2023
173,Ingeniería Civil,Física,8.4,5,2024
174,Ingeniería Civil,Estadística,8.9,3,2023
175,Ingeniería en Co,Base de Datos,7.0,8,2023
176,Ingeniería Civil,Física,7.3,3,2024
177,Ingeniería Mecár,Estadística,7.1,2,2022
178,Ingeniería Indust,Algoritmos,9.2,5,2024
179,Ingeniería Mecár,Estadística,6.0,3,2023
180,Ingeniería Civil,Física,9.9,3,2024
181,Ingeniería en Co,Estadística,6.9,8,2023
182,Ingeniería Indust,Programación,7.5,4,2022
183,Ingeniería en Co,Estadística,7.6,8,2022
184,Ingeniería Civil,Base de Datos,8.9,6,2024
185,Ingeniería Indust,Cálculo,6.7,2,2024
186,Ingeniería en Co,Cálculo,6.0,5,2022
187,Ingeniería Civil,Física,7.4,6,2024
188,Ingeniería Mecár,Programación,8.7,4,2024
189,Ingeniería Civil,Cálculo,8.0,1,2023
190,Ingeniería Indust,Base de Datos,6.3,4,2024
191,Ingeniería Indust,Estadística,5.5,3,2022
192,Ingeniería Indust,Estadística,8.0,6,2024
193,Ingeniería en Co,Algoritmos,9.0,4,2024
194,Ingeniería Civil,Algoritmos,5.8,4,2022
195,Ingeniería Civil,Programación,9.7,8,2023
196,Ingeniería Civil,Estadística,6.1,8,2023
197,Ingeniería en Co,Programación,7.1,5,2022
198,Ingeniería Civil,Programación,7.8,1,2024
199,Ingeniería en Co,Estadística,8.3,6,2022
200,Ingeniería Civil,Base de Datos,9.8,8,2024
