id_estudiante,carrera,materia,calificacion,semestre,año
93,Ingeniería en Computación,Física,2026-04-06 00:00:00,3,2024
94,Ingeniería Civil,Cálculo,2026-04-09 00:00:00,6,2024
95,Ingeniería Civil,Programación,2026-03-07 00:00:00,4,2022
96,Ingeniería Mecánica,Base de Datos,2026-01-07 00:00:00,3,2024
97,Ingeniería Industrial,Física,2026-06-09 00:00:00,3,2022
98,Ingeniería en Computación,Algoritmos,2026-05-06 00:00:00,6,2022
99,Ingeniería en Computación,Física,2026-03-05 00:00:00,4,2022
100,Ingeniería Industrial,Base de Datos,2026-03-06 00:00:00,5,2024
101,Ingeniería Civil,Cálculo,2026-07-09 00:00:00,3,2024
102,Ingeniería Industrial,Programación,7,8,2022
103,Ingeniería Mecánica,Cálculo,2026-09-06 00:00:00,5,2022
104,Ingeniería en Computación,Programación,2026-05-05 00:00:00,2,2024
105,Ingeniería Civil,Algoritmos,2026-02-06 00:00:00,7,2022
106,Ingeniería en Computación,Estadística,6,7,2024
107,Ingeniería Civil,Física,2026-02-06 00:00:00,6,2024
108,Ingeniería Industrial,Base de Datos,2026-06-09 00:00:00,8,2022
109,Ingeniería Civil,Cálculo,2026-05-09 00:00:00,4,2022
110,Ingeniería Industrial,Base de Datos,2026-09-06 00:00:00,7,2022
111,Ingeniería Civil,Base de Datos,7,5,2024
112,Ingeniería en Computación,Física,2026-05-09 00:00:00,4,2024
113,Ingeniería Civil,Programación,2026-01-09 00:00:00,3,2022
114,Ingeniería Mecánica,Estadística,2026-04-07 00:00:00,4,2023
115,Ingeniería en Computación,Física,2026-03-06 00:00:00,7,2024
116,Ingeniería en Computación,Estadística,2026-02-06 00:00:00,8,2024
117,Ingeniería Civil,Cálculo,2026-01-07 00:00:00,1,2024
118,Ingeniería en Computación,Estadística,9,8,2024
119,Ingeniería Industrial,Estadística,2026-04-08 00:00:00,8,2024
120,Ingeniería Industrial,Base de Datos,2026-09-05 00:00:00,1,2022
121,Ingeniería Industrial,Cálculo,2026-07-09 00:00:00,7,2023
122,Ingeniería Mecánica,Base de Datos,2026-02-07 00:00:00,7,2022
123,Ingeniería en Computación,Programación,2026-09-08 00:00:00,3,2022
124,Ingeniería Industrial,Física,2026-03-06 00:00:00,7,2023
125,Ingeniería Industrial,Física,2026-05-05 00:00:00,3,2023
126,Ingeniería Industrial,Base de Datos,2026-02-06 00:00:00,7,2022
127,Ingeniería en Computación,Física,2026-03-05 00:00:00,6,2022
128,Ingeniería Industrial,Base de Datos,2026-05-09 00:00:00,3,2023
129,Ingeniería Mecánica,Estadística,2026-03-08 00:00:00,6,2024
130,Ingeniería Mecánica,Cálculo,2026-05-08 00:00:00,6,2023
131,Ingeniería Mecánica,Estadística,2026-05-07 00:00:00,5,2023
132,Ingeniería en Computación,Algoritmos,8,3,2023
133,Ingeniería Civil,Cálculo,2026-02-05 00:00:00,5,2024
134,Ingeniería Mecánica,Programación,2026-07-07 00:00:00,1,2022
135,Ingeniería en Computación,Algoritmos,2026-09-07 00:00:00,6,2024
136,Ingeniería en Computación,Algoritmos,2026-05-09 00:00:00,6,2024
137,Ingeniería Industrial,Cálculo,2026-09-06 00:00:00,6,2022
138,Ingeniería en Computación,Base de Datos,2026-07-08 00:00:00,1,2022
139,Ingeniería Industrial,Estadística,2026-02-09 00:00:00,2,2023
140,Ingeniería Mecánica,Programación,2026-06-07 00:00:00,8,2024
141,Ingeniería Mecánica,Algoritmos,2026-02-05 00:00:00,2,2024
142,Ingeniería Civil,Cálculo,2026-06-09 00:00:00,8,2022
143,Ingeniería Civil,Estadística,2026-02-09 00:00:00,1,2024
144,Ingeniería Mecánica,Base de Datos,8,1,2022
145,Ingeniería Mecánica,Física,2026-08-05 00:00:00,7,2022
146,Ingeniería Industrial,Cálculo,2026-02-09 00:00:00,3,2023
147,Ingeniería Civil,Programación,2026-01-09 00:00:00,1,2024
148,Ingeniería Civil,Estadística,2026-01-05 00:00:00,8,2023
149,Ingeniería Civil,Programación,2026-08-06 00:00:00,3,2023
150,Ingeniería Industrial,Programación,2026-05-08 00:00:00,3,2022
151,Ingeniería Mecánica,Física,2026-06-09 00:00:00,8,2024
152,Ingeniería Industrial,Física,2026-07-07 00:00:00,2,2023
153,Ingeniería Civil,Estadística,6,2,2023
154,Ingeniería Civil,Base de Datos,6,7,2024
155,Ingeniería Civil,Estadística,2026-03-07 00:00:00,5,2022
156,Ingeniería Civil,Estadística,2026-06-05 00:00:00,2,2024
157,Ingeniería Mecánica,Base de Datos,2026-04-09 00:00:00,1,2024
158,Ingeniería Mecánica,Física,2026-02-06 00:00:00,4,2023
159,Ingeniería Industrial,Programación,6,2,2023
160,Ingeniería Industrial,Estadística,2026-07-05 00:00:00,7,2024
161,Ingeniería en Computación,Algoritmos,8,6,2023
162,Ingeniería Civil,Programación,2026-05-09 00:00:00,8,2024
163,Ingeniería Industrial,Base de Datos,2026-04-07 00:00:00,4,2024
164,Ingeniería Civil,Cálculo,2026-08-07 00:00:00,5,2022
165,Ingeniería Industrial,Estadística,2026-09-08 00:00:00,1,2024
166,Ingeniería Industrial,Estadística,2026-09-06 00:00:00,1,2023
167,Ingeniería Industrial,Programación,2026-05-08 00:00:00,3,2024
168,Ingeniería en Computación,Física,2026-05-05 00:00:00,4,2024
169,Ingeniería en Computación,Programación,2026-03-06 00:00:00,4,2022
170,Ingeniería Mecánica,Algoritmos,2026-03-05 00:00:00,1,2022
171,Ingeniería en Computación,Base de Datos,2026-01-09 00:00:00,5,2022
172,Ingeniería Civil,Algoritmos,2026-05-08 00:00:00,4,2023
173,Ingeniería Civil,Física,2026-04-08 00:00:00,5,2024
174,Ingeniería Civil,Estadística,2026-09-08 00:00:00,3,2023
175,Ingeniería en Computación,Base de Datos,7,8,2023
176,Ingeniería Civil,Física,2026-03-07 00:00:00,3,2024
177,Ingeniería Mecánica,Estadística,2026-01-07 00:00:00,2,2022
178,Ingeniería Industrial,Algoritmos,2026-02-09 00:00:00,5,2024
179,Ingeniería Mecánica,Estadística,6,3,2023
180,Ingeniería Civil,Física,2026-09-09 00:00:00,3,2024
181,Ingeniería en Computación,Estadística,2026-09-06 00:00:00,8,2023
182,Ingeniería Industrial,Programación,2026-05-07 00:00:00,4,2022
183,Ingeniería en Computación,Estadística,2026-06-07 00:00:00,8,2022
184,Ingeniería Civil,Base de Datos,2026-09-08 00:00:00,6,2024
185,Ingeniería Industrial,Cálculo,2026-07-06 00:00:00,2,2024
186,Ingeniería en Computación,Cálculo,6,5,2022
187,Ingeniería Civil,Física,2026-04-07 00:00:00,6,2024
188,Ingeniería Mecánica,Programación,2026-07-08 00:00:00,4,2024
189,Ingeniería Civil,Cálculo,8,1,2023
190,Ingeniería Industrial,Base de Datos,2026-03-06 00:00:00,4,2024
191,Ingeniería Industrial,Estadística,2026-05-05 00:00:00,3,2022
192,Ingeniería Industrial,Estadística,8,6,2024
193,Ingeniería en Computación,Algoritmos,9,4,2024
194,Ingeniería Civil,Algoritmos,2026-08-05 00:00:00,4,2022
195,Ingeniería Civil,Programación,2026-07-09 00:00:00,8,2023
196,Ingeniería Civil,Estadística,2026-01-06 00:00:00,8,2023
197,Ingeniería en Computación,Programación,2026-01-07 00:00:00,5,2022
198,Ingeniería Civil,Programación,2026-08-07 00:00:00,1,2024
199,Ingeniería en Computación,Estadística,2026-03-08 00:00:00,6,2022
200,Ingeniería Civil,Base de Datos,2026-08-09 00:00:00,8,2024
